DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DEVI,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PEF,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1560.134,2827.2737,2831292.75,nan,8.75,8.75,1.5354,23.7678,151.5702,3.0,nan,44.1146,17.6245,18.6865,1560.134,0.9261,1.926,nan,0.0018,0.0001,0.01,9289.0186,1.4059,16.5113,16.5113,272.624,-197.9244,1.0,1.0,1.0,-1472.764,0.007,0.0001,19.0
1560.158,2845.4309,2845430.75,nan,8.7496,8.7496,1.5364,23.6644,151.5897,3.0,nan,44.5041,17.3904,18.4506,1560.158,0.9261,1.9586,nan,0.0017,0.0001,0.01,9335.4033,1.4152,16.1797,16.1797,262.3705,-197.9229,1.0,1.0,1.0,-1472.788,0.0376,0.0001,19.0
1560.2864,2952.4299,2956029.75,nan,8.7479,8.7479,1.5439,23.1109,151.1834,3.0,nan,46.5879,16.1378,17.1889,1560.2864,0.9261,2.1684,nan,0.0009,0.0001,0.01,9698.2607,1.4644,14.4054,14.4054,207.5147,-197.9268,1.0,1.0,1.0,-1472.9164,0.201,0.0001,19.0
1560.3104,2976.7024,2976702.5,nan,8.7486,8.7486,1.5453,22.7322,151.1074,3.0,nan,46.924,15.7637,16.7821,1560.3104,0.9188,2.2076,nan,0.0008,0.0001,0.01,9766.084,1.4757,14.0203,14.0203,197.3632,-197.9276,1.0,1.0,1.0,-1472.9404,0.4588,0.0001,19.0
1560.4388,3117.3953,3118360.5,nan,8.7522,8.7522,1.5555,20.7061,150.1974,3.0,nan,48.7224,13.7622,14.6057,1560.4388,0.8798,2.4343,nan,0.0,0.0001,0.01,10230.8418,1.5362,11.9605,11.9605,143.0528,-197.9396,1.0,1.0,1.0,-1473.0688,1.838,0.0001,19.0
1560.4628,3144.8386,3144838.75,nan,8.7518,8.7518,1.5574,20.1074,150.0273,3.0,nan,49.0281,13.3762,14.1749,1560.4628,0.8702,2.4767,nan,0.0,0.0001,0.01,10317.7119,1.5479,11.6314,11.6314,135.8691,-197.9418,1.0,1.0,1.0,-1473.0928,2.4553,0.0001,19.0
1560.5912,3297.1389,3294830.25,nan,8.75,8.75,1.559,16.9044,148.9177,3.0,nan,50.6635,11.3113,11.8701,1560.5912,0.8191,2.6837,nan,0.0,0.0001,0.01,10809.8105,1.6109,9.871,9.871,97.436,-197.9505,1.0,1.0,1.0,-1473.2212,5.758,0.0001,19.0
1560.6152,3322.8662,3322866.0,nan,8.7494,8.7494,1.5593,16.3696,148.7103,3.0,nan,51.021,11.0054,11.5353,1560.6152,0.8172,2.7224,nan,0.0,0.0001,0.01,10901.792,1.6212,9.64,9.64,93.215,-197.9521,1.0,1.0,1.0,-1473.2452,6.5594,0.0001,19.0
1560.7436,3462.0137,3458839.5,nan,8.7465,8.7465,1.5695,13.5084,147.5888,3.0,nan,52.9336,9.3688,9.7439,1560.7437,0.8071,2.8689,nan,0.0,0.0001,0.01,11347.8984,1.6764,8.4043,8.4043,70.6321,-197.9438,1.0,1.0,1.0,-1473.3735,10.847,0.0001,19.0
1560.7676,3484.2549,3484255.0,nan,8.7465,8.7465,1.5714,13.1483,147.3792,3.0,nan,53.1797,9.1637,9.522,1560.7676,0.8006,2.8963,nan,0.0,0.0001,0.01,11431.2832,1.6847,8.2757,8.2757,68.575,-197.9423,1.0,1.0,1.0,-1473.3976,11.5757,0.0001,19.0
1560.896,3602.5242,3599317.75,nan,8.746,8.746,1.5593,11.2216,146.3309,3.0,nan,54.4964,8.0669,8.335,1560.896,0.7657,2.992,nan,0.0,0.0001,0.01,11808.7852,1.7295,7.5875,7.5875,57.5695,-197.9335,1.0,1.0,1.0,-1473.526,15.474,0.0001,19.0
1560.92,3620.825,3620824.75,nan,8.746,8.746,1.557,11.0162,146.135,3.0,nan,54.4898,7.9659,8.2222,1560.92,0.7596,3.0099,nan,0.0,0.0001,0.01,11879.3467,1.736,7.5492,7.5492,56.9982,-197.9318,1.0,1.0,1.0,-1473.5499,16.0208,0.0001,19.0
1561.0484,3719.2266,3717156.25,nan,8.746,8.746,1.5745,9.9172,145.1002,1.0,nan,54.4543,7.4256,7.6189,1561.0483,0.7272,3.0658,1.0,0.0,0.0001,0.01,12195.3936,1.7705,7.3445,7.3445,53.9415,-197.9315,1.0,1.0,1.0,-1473.6783,18.946,0.0001,19.0
1561.0724,3735.1619,3735162.0,nan,8.746,8.746,1.5778,9.8674,144.9068,1.0,nan,54.2655,7.4099,7.5961,1561.0724,0.7224,3.0762,1.0,0.0,0.0001,0.01,12254.4678,1.7758,7.3669,7.3669,54.2744,-197.9314,1.0,1.0,1.0,-1473.7024,19.3835,0.0001,19.0
1561.2008,3822.5879,3822229.5,nan,8.746,8.746,1.5941,9.6009,143.8176,0.0,nan,53.2558,7.3257,7.4737,1561.2008,0.6966,3.1004,1.0,0.0,0.0001,0.01,12540.1221,1.8037,7.487,7.487,56.055,-197.9401,1.0,1.0,1.0,-1473.8308,21.724,0.0001,20.0
1561.2249,3838.5715,3838571.5,nan,8.7458,8.7458,1.5972,9.6873,143.6132,0.0,nan,52.9174,7.3615,7.506,1561.2249,0.693,3.105,1.0,0.0,0.0001,0.01,12593.7383,1.8086,7.5382,7.5382,56.8382,-197.9418,1.0,1.0,1.0,-1473.8549,22.2093,0.0001,20.0
1561.3532,3931.6553,3933996.5,nan,8.7446,8.7446,1.6092,10.147,142.2631,1.0,nan,51.1161,7.5521,7.6782,1561.3531,0.6739,3.1431,1.0,0.0,0.0001,0.01,12906.8115,1.8351,7.8107,7.8107,61.0073,-197.9416,1.0,1.0,1.0,-1473.9832,24.793,0.0001,20.0
1561.3772,3951.8467,3951846.75,nan,8.7426,8.7426,1.6114,10.252,142.0105,1.0,nan,50.7283,7.6061,7.7298,1561.3772,0.6706,3.1502,1.0,0.0,0.0001,0.01,12965.376,1.8412,7.8809,7.8809,62.1354,-197.9416,1.0,1.0,1.0,-1474.0072,25.5472,0.0001,20.0
1561.5056,4069.2593,4073766.5,nan,8.7318,8.7318,1.6153,10.8137,140.3773,1.0,nan,48.6537,7.8949,8.0058,1561.5056,0.6532,3.2499,1.0,0.0,0.0001,0.01,13365.375,1.8741,8.2565,8.2565,68.1705,-197.9403,1.0,1.0,1.0,-1474.1356,29.582,0.0001,20.0
1561.5297,4096.6504,4096650.25,nan,8.7264,8.7264,1.616,10.9078,140.0708,1.0,nan,48.443,7.9687,8.0776,1561.5297,0.6475,3.2686,1.0,0.0,0.0023,0.0106,13440.4531,1.8826,8.3719,8.3719,70.1591,-197.94,0.9947,0.9947,0.9991,-1474.1597,30.8031,0.0022,20.0
